NUTS_LEVEL3_ID	NUTS_LEVEL0_ID	Slope	Tree_species	Tree_prob	Perc_reforest
DEC01	DE	2	Malus_sylvestris	70	10
DEC02	DE	3	Prunus_avium	60	10
DEC03	DE	4	Quercus_robur	51	10
DEC04	DE	5	Populus_alba	52	10
DEC05	DE	1	Betula_pubescens	53	10
DEC06	DE	2	Pinus_nigra	54	10
DE254	DE	3	Carpinus_orientalis	55	10
DE255	DE	4	Quercus_petraea	56	10
DE256	DE	5	Acer_platanoides	57	10
DE257	DE	1	Pyrus_communis	58	10
DE258	DE	2	Taxus_baccata	59	10
DE259	DE	3	Celtis_australis	60	10
DE25A	DE	4	Ceratonia_siliqua	61	10
DE25B	DE	5	Fagus_sylvatica	62	10
DE25C	DE	6	Tilia_platyphyllos	63	10
DE261	DE	7	Corylus_avellana	64	10
BG341	BG	8	Pistacia_terebinthus	65	10
BG342	BG	2	Fraxinus_ornus	66	10
BG343	BG	2	Ostrya_carpinifolia	67	10
BG344	BG	2	Alnus_glutinosa	68	10
BG411	BG	2	Acer_opalus	69	10
BG412	BG	2	Cupressus_sempervirens	70	10
BG413	BG	2	Pinus_pinea	71	10
BG414	BG	2	Prunus_padus	72	10
BG415	BG	2	Quercus_coccifera	73	10
BG421	BG	2	Aria_edulis	74	10
BG422	BG	2	Betula_pendula	75	10
BG423	BG	2	Pinus_halepensis	76	10
BG424	BG	2	Populus_nigra	77	10
BG425	BG	2	Pinus_pinaster	78	10
CH011	CH	2	Quercus_frainetto	79	10
DE262	DE	2	Sorbus_aucuparia	50	10
DE263	DE	2	Ulmus_minor	51	10
DE264	DE	2	Torminalis_glaberrima	52	10
DE265	DE	2	Castanea_sativa	53	10
DE266	DE	2	Populus_tremula	54	10
DE267	DE	2	Quercus_cerris	55	10
DE268	DE	2	Picea_abies	56	10
DE269	DE	2	Larix_decidua	57	10
DE26A	DE	2	Carpinus_betulus	58	10
DE26B	DE	2	Fraxinus_angustifolia	59	10
DE26C	DE	2	Quercus_pubescens	60	10
DE271	DE	2	Pinus_sylvestris	61	10
DE272	DE	2	Pinus_brutia	62	10
DE273	DE	2	Juglans_regia	63	10
DE274	DE	2	Acer_pseudoplatanus	64	10
AL013	AL	2	Ulmus_laevis	65	10
AL015	AL	2	Juniperus_thurifera	66	10
AL014	AL	2	Quercus_ilex	67	10
AL011	AL	2	Pistacia_lentiscus	68	10
AL012	AL	2	Acer_campestre	69	10
AL021	AL	2	Laurus_nobilis	70	10
AL022	AL	2	Fraxinus_excelsior	71	10
AL034	AL	2	Quercus_pyrenaica	72	10
AL031	AL	2	Arbutus_unedo	73	10
AL032	AL	2	Malus_sylvestris	74	10
AL035	AL	2	Prunus_avium	75	10
AL033	AL	2	Quercus_robur	76	10
AT111	AT	2	Populus_alba	77	10
AT112	AT	2	Betula_pubescens	78	10
AT113	AT	2	Pinus_nigra	79	10
AT121	AT	2	Carpinus_orientalis	70	10
CH055	CH	2	Quercus_petraea	70	10
CH056	CH	2	Acer_platanoides	70	10
CH057	CH	2	Pyrus_communis	70	10
CH061	CH	2	Taxus_baccata	70	10
CH062	CH	2	Celtis_australis	70	10
CH063	CH	2	Ceratonia_siliqua	70	10
CH064	CH	2	Fagus_sylvatica	70	10
CH065	CH	2	Tilia_platyphyllos	70	10
CH066	CH	2	Corylus_avellana	70	10
CH070	CH	2	Pistacia_terebinthus	70	10
CY000	CY	2	Fraxinus_ornus	70	10
CZ010	CZ	2	Ostrya_carpinifolia	70	10
CZ020	CZ	2	Alnus_glutinosa	70	10
CZ031	CZ	2	Acer_opalus	70	10
CZ032	CZ	2	Cupressus_sempervirens	70	10
CZ041	CZ	2	Pinus_pinea	70	10
CZ042	CZ	2	Prunus_padus	70	10
CZ051	CZ	2	Quercus_coccifera	70	10
CZ052	CZ	2	Aria_edulis	70	10
CZ053	CZ	2	Betula_pendula	70	10
CZ063	CZ	2	Pinus_halepensis	70	10
CZ064	CZ	2	Populus_nigra	70	10
CZ071	CZ	2	Pinus_pinaster	70	10
CZ072	CZ	2	Quercus_frainetto	70	10
CZ080	CZ	2	Sorbus_aucuparia	70	10
DE111	DE	2	Ulmus_minor	70	10
DE112	DE	2	Torminalis_glaberrima	70	10
DE113	DE	2	Castanea_sativa	70	10
DE114	DE	2	Populus_tremula	70	10
DE115	DE	2	Quercus_cerris	70	10
DE116	DE	2	Picea_abies	70	10
DE117	DE	2	Larix_decidua	70	10
DE118	DE	2	Carpinus_betulus	70	10
DE119	DE	2	Fraxinus_angustifolia	70	10
DE11A	DE	2	Quercus_pubescens	70	10
DE11B	DE	2	Pinus_sylvestris	70	10
DE11C	DE	2	Pinus_brutia	70	10
DE11D	DE	2	Juglans_regia	70	10
DE121	DE	2	Acer_pseudoplatanus	70	10
DE122	DE	2	Ulmus_laevis	70	10
DE123	DE	2	Juniperus_thurifera	70	10
DE124	DE	2	Quercus_ilex	70	10
DE125	DE	2	Pistacia_lentiscus	70	10
DE126	DE	2	Acer_campestre	70	10
DE234	DE	2	Laurus_nobilis	70	10
DE235	DE	2	Fraxinus_excelsior	70	10
DE236	DE	2	Quercus_pyrenaica	70	10
DE237	DE	2	Arbutus_unedo	70	10
DE238	DE	2		70	10
DE239	DE	2		70	10
DE23A	DE	2		70	10
DE241	DE	2		70	10
DE242	DE	2		70	10
DE243	DE	2		70	10
DE244	DE	2		70	10
DE245	DE	2		70	10
DE246	DE				
DE247	DE				
DE248	DE				
DE249	DE				
DE24A	DE				
DE24B	DE				
DE24C	DE				
DE24D	DE				
DE251	DE				
DE252	DE				
DE253	DE				
DK032	DK				
DK041	DK				
DK042	DK				
DK050	DK				
EE001	EE				
EE004	EE				
EE009	EE				
DEA16	DE				
DEA17	DE				
DEA18	DE				
DEA19	DE				
DEA1A	DE				
DEA1B	DE				
DE127	DE				
DE128	DE				
DE129	DE				
DE12A	DE				
DE12B	DE				
DE12C	DE				
DE131	DE				
DE132	DE				
DE133	DE				
DE134	DE				
DE135	DE				
DE136	DE				
DE137	DE				
DE138	DE				
DE139	DE				
DE13A	DE				
DE141	DE				
DE142	DE				
DE143	DE				
DE144	DE				
DE145	DE				
DE146	DE				
DE147	DE				
DE148	DE				
DE149	DE				
DE211	DE				
DE212	DE				
DE213	DE				
DE214	DE				
DE215	DE				
DE216	DE				
DE217	DE				
DE218	DE				
DE219	DE				
DE21A	DE				
DE21B	DE				
DE21C	DE				
DE21D	DE				
DE21E	DE				
DE21F	DE				
